"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 00:00","2022","09","01","00:00","18.7","","14.8","","78","","0.0","","27","","13","","16.1","","99.03","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 01:00","2022","09","01","01:00","17.5","","14.9","","84","","0.0","","28","","9","","16.1","","99.06","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 02:00","2022","09","01","02:00","17.7","","15.3","","86","","0.0","","33","","15","","16.1","","99.11","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 03:00","2022","09","01","03:00","15.8","","13.9","","88","","0.0","","3","","8","","16.1","","99.18","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 04:00","2022","09","01","04:00","13.9","","13.3","","96","","0.0","","4","","5","","16.1","","99.22","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 05:00","2022","09","01","05:00","12.3","","12.0","","98","","0.0","","","","0","","16.1","","99.26","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 06:00","2022","09","01","06:00","11.4","","11.1","","98","","0.0","","2","","5","","16.1","","99.32","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 07:00","2022","09","01","07:00","14.1","","13.8","","98","","0.0","","2","","4","","16.1","","99.41","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 08:00","2022","09","01","08:00","17.9","","13.6","","76","","0.0","","","M","4","","16.1","","99.45","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 09:00","2022","09","01","09:00","19.6","","11.9","","61","","0.0","","6","","8","","16.1","","99.47","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 10:00","2022","09","01","10:00","20.9","","10.8","","52","","0.0","","","M","5","","16.1","","99.52","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 11:00","2022","09","01","11:00","21.6","","12.8","","57","","0.0","","19","","11","","16.1","","99.53","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 12:00","2022","09","01","12:00","22.0","","12.5","","55","","0.0","","19","","13","","16.1","","99.51","","25","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 13:00","2022","09","01","13:00","22.5","","13.3","","55","","0.0","","19","","17","","16.1","","99.51","","25","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 14:00","2022","09","01","14:00","22.8","","14.1","","57","","0.0","","21","","15","","16.1","","99.49","","26","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 15:00","2022","09","01","15:00","23.2","","15.3","","61","","0.0","","20","","18","","16.1","","99.44","","27","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 16:00","2022","09","01","16:00","23.4","","17.1","","68","","0.0","","20","","18","","16.1","","99.43","","29","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 17:00","2022","09","01","17:00","23.0","","17.2","","70","","0.0","","20","","17","","16.1","","99.43","","28","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 18:00","2022","09","01","18:00","22.3","","17.9","","76","","0.0","","20","","11","","16.1","","99.43","","28","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 19:00","2022","09","01","19:00","20.2","","17.8","","86","","0.0","","19","","8","","16.1","","99.42","","26","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 20:00","2022","09","01","20:00","18.2","","16.6","","90","","0.0","","17","","9","","16.1","","99.46","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 21:00","2022","09","01","21:00","17.7","","16.7","","94","","0.0","","16","","5","","16.1","","99.48","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 22:00","2022","09","01","22:00","18.0","","16.9","","93","","0.0","","17","","9","","16.1","","99.49","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-01 23:00","2022","09","01","23:00","17.6","","16.4","","93","","0.0","","15","","9","","16.1","","99.52","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 00:00","2022","09","02","00:00","17.6","","16.5","","93","","0.0","","17","","11","","16.1","","99.55","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 01:00","2022","09","02","01:00","18.0","","16.5","","91","","0.0","","16","","9","","16.1","","99.54","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 02:00","2022","09","02","02:00","16.9","","15.8","","93","","0.0","","19","","11","","16.1","","99.54","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 03:00","2022","09","02","03:00","18.2","","16.9","","92","","0.0","","19","","8","","16.1","","99.58","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 04:00","2022","09","02","04:00","17.0","","16.2","","95","","0.0","","19","","13","","16.1","","99.61","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 05:00","2022","09","02","05:00","17.7","","16.7","","94","","0.0","","18","","13","","16.1","","99.65","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 06:00","2022","09","02","06:00","18.0","","16.4","","90","","0.0","","18","","9","","16.1","","99.70","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 07:00","2022","09","02","07:00","19.7","","17.7","","88","","0.0","","18","","13","","16.1","","99.75","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 08:00","2022","09","02","08:00","21.6","","17.8","","79","","0.0","","17","","15","","16.1","","99.74","","27","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-09-02 09:00","2022","09","02","09:00","22.6","","16.4","","68","","0.0","","18","","17","","16.1","","99.75","","27","","","","NA"
